model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,cell_wasserstein,dataset_name
identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,4.845600914170623,sciplex3-hvg-top1k_50
observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,4.224248418620469,sciplex3-hvg-top1k_50
scgen,flavopiridol,50,0.848152739056352,0.852757,0.0092363138642213,4.270014338771551,sciplex3-hvg-top1k_50
w1ot,flavopiridol,50,0.8657180735883712,0.8005194,0.0074224823344411,4.298637408791572,sciplex3-hvg-top1k_50
w2ot,flavopiridol,50,0.9127936854391367,0.75886905,0.0099181899620452,4.139888429967959,sciplex3-hvg-top1k_50
identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,4.7097611413159965,sciplex3-hvg-top1k_50
observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,3.6904427595734783,sciplex3-hvg-top1k_50
scgen,givinostat,50,0.8353121039132201,1.0557512,0.0117932486964855,4.386240402145709,sciplex3-hvg-top1k_50
w1ot,givinostat,50,0.8295123732886958,1.128239,0.012207998917438,3.8691065523112473,sciplex3-hvg-top1k_50
w2ot,givinostat,50,0.9731186182086649,0.7259742,0.0096943564713001,3.801114206914474,sciplex3-hvg-top1k_50
identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,4.74754295662268,sciplex3-hvg-top1k_50
observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,4.276884327158813,sciplex3-hvg-top1k_50
scgen,belinostat,50,0.8909483765441114,0.8379746,0.0074703411967311,4.398251305708717,sciplex3-hvg-top1k_50
w1ot,belinostat,50,0.8202167363758912,0.92500645,0.0055564860955928,4.418387803990743,sciplex3-hvg-top1k_50
w2ot,belinostat,50,0.958677286647744,0.50048625,0.0038811730770248,4.24626147500143,sciplex3-hvg-top1k_50
identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,4.1716807309574016,sciplex3-hvg-top1k_50
observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,4.0454624928719,sciplex3-hvg-top1k_50
scgen,tak,50,0.9172323846288236,0.7274656,0.0090640601304767,3.8587302858011943,sciplex3-hvg-top1k_50
w1ot,tak,50,0.9421149689156336,0.6210215,0.0068266124079673,4.0025756796903424,sciplex3-hvg-top1k_50
w2ot,tak,50,0.9284004133835372,0.6842625,0.0075827228295383,3.906953554090845,sciplex3-hvg-top1k_50
identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,3.658871890344867,sciplex3-hvg-top1k_50
observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,3.250268557851044,sciplex3-hvg-top1k_50
scgen,jnj,50,0.9502086444361048,0.37121606,0.0137177601456642,3.37268651171117,sciplex3-hvg-top1k_50
w1ot,jnj,50,0.96645075209646,0.38319755,0.0070659289509058,3.1517935098258856,sciplex3-hvg-top1k_50
w2ot,jnj,50,0.957936333631938,0.5221029,0.007457134053111,3.1539979750851144,sciplex3-hvg-top1k_50
identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,5.559548522238805,sciplex3-hvg-top1k_50
observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,5.067648829049717,sciplex3-hvg-top1k_50
scgen,hesperadin,50,0.8518518011206969,1.2196486,0.012035577106435,5.246288251807017,sciplex3-hvg-top1k_50
w1ot,hesperadin,50,0.8968901942459783,0.93289065,0.0065029887524724,5.187951955852542,sciplex3-hvg-top1k_50
w2ot,hesperadin,50,0.9547304219118972,0.83703625,0.0080602104064746,5.171117630311015,sciplex3-hvg-top1k_50
identity,flavopiridol,50,0.7188543413898592,1.1363792,0.0076689505887043,4.804246578269229,sciplex3-hvg-top1k_50
observed,flavopiridol,50,0.967704489641671,0.37754762,0.0029257507971487,4.177136755913461,sciplex3-hvg-top1k_50
scgen,flavopiridol,50,0.9179468609024442,0.64571667,0.0085685246076354,4.053737267155749,sciplex3-hvg-top1k_50
w1ot,flavopiridol,50,0.9163663275231224,0.6131865,0.0075747157629666,4.095508899844201,sciplex3-hvg-top1k_50
w2ot,flavopiridol,50,0.9668248591099609,0.46762958,0.0077822362664937,3.965840105192581,sciplex3-hvg-top1k_50
identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,3.982182990893091,sciplex3-hvg-top1k_50
observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,3.5816736980540256,sciplex3-hvg-top1k_50
scgen,tanespimycin,50,0.9081880720587966,0.60248935,0.0098755184863694,3.483140066247561,sciplex3-hvg-top1k_50
w1ot,tanespimycin,50,0.938276539521512,0.53424245,0.0065850647329352,3.5379208107161797,sciplex3-hvg-top1k_50
w2ot,tanespimycin,50,0.8969395487095854,0.66333973,0.0079547443077899,3.5172510907983354,sciplex3-hvg-top1k_50
identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,5.559548522238805,sciplex3-hvg-top1k_50
observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,5.067648829049717,sciplex3-hvg-top1k_50
scgen,hesperadin,50,0.8776653099689995,1.2428695,0.0119269288711075,5.197569119451861,sciplex3-hvg-top1k_50
w1ot,hesperadin,50,0.8774267822006704,1.1082942,0.0080610977306787,5.188222650421789,sciplex3-hvg-top1k_50
w2ot,hesperadin,50,0.9483087605740786,0.9759915,0.0106817452840186,5.191780607510471,sciplex3-hvg-top1k_50
identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,4.74754295662268,sciplex3-hvg-top1k_50
observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,4.276884327158813,sciplex3-hvg-top1k_50
scgen,belinostat,50,0.8540175622698918,0.96524394,0.0082179066380194,4.439246057018414,sciplex3-hvg-top1k_50
w1ot,belinostat,50,0.8556147078657801,0.83749014,0.0048683198809158,4.382068262198766,sciplex3-hvg-top1k_50
w2ot,belinostat,50,0.8665658206593451,0.90510947,0.007408009298706,4.328167416561116,sciplex3-hvg-top1k_50
identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,6.018443176730672,sciplex3-hvg-top1k_50
observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,3.8510396177976425,sciplex3-hvg-top1k_50
scgen,dacinostat,50,0.7904964746875879,1.2645168,0.0100633321795612,4.509731608461962,sciplex3-hvg-top1k_50
w1ot,dacinostat,50,0.8553716524140988,1.3170202,0.0104809367004781,4.244956671678732,sciplex3-hvg-top1k_50
w2ot,dacinostat,50,0.959327834407653,0.7052957,0.0079031584691256,3.940023276300057,sciplex3-hvg-top1k_50
identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,4.7097611413159965,sciplex3-hvg-top1k_50
observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,3.6904427595734783,sciplex3-hvg-top1k_50
scgen,givinostat,50,0.7886898862332629,1.206537,0.0085003725904971,4.335442758332338,sciplex3-hvg-top1k_50
w1ot,givinostat,50,0.875014141749287,0.94485605,0.0102395579311996,3.91244616495918,sciplex3-hvg-top1k_50
w2ot,givinostat,50,0.9761022795337152,0.5414152,0.006560247358866,3.817563126649859,sciplex3-hvg-top1k_50
identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,3.982182990893091,sciplex3-hvg-top1k_50
