,model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,dataset_name
0,identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,sciplex3-hvg-top1k_50
1,observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,sciplex3-hvg-top1k_50
2,scgen,flavopiridol,50,0.848152739056352,0.852757,0.0092363138642213,sciplex3-hvg-top1k_50
3,w1ot,flavopiridol,50,0.8657180735883712,0.8005194,0.0074224823344411,sciplex3-hvg-top1k_50
4,w2ot,flavopiridol,50,0.9127936854391367,0.75886905,0.0099181899620452,sciplex3-hvg-top1k_50
5,identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,sciplex3-hvg-top1k_50
6,observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,sciplex3-hvg-top1k_50
7,scgen,givinostat,50,0.8353121039132201,1.0557512,0.0117932486964855,sciplex3-hvg-top1k_50
8,w1ot,givinostat,50,0.8295123732886958,1.128239,0.012207998917438,sciplex3-hvg-top1k_50
9,w2ot,givinostat,50,0.9731186182086649,0.7259742,0.0096943564713001,sciplex3-hvg-top1k_50
10,identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,sciplex3-hvg-top1k_50
11,observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,sciplex3-hvg-top1k_50
12,scgen,belinostat,50,0.8909483765441114,0.8379746,0.0074703411967311,sciplex3-hvg-top1k_50
13,w1ot,belinostat,50,0.8202167363758912,0.92500645,0.0055564860955928,sciplex3-hvg-top1k_50
14,w2ot,belinostat,50,0.958677286647744,0.50048625,0.0038811730770248,sciplex3-hvg-top1k_50
15,identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,sciplex3-hvg-top1k_50
16,observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,sciplex3-hvg-top1k_50
17,scgen,tak,50,0.9172323846288236,0.7274656,0.0090640601304767,sciplex3-hvg-top1k_50
18,w1ot,tak,50,0.9421149689156336,0.6210215,0.0068266124079673,sciplex3-hvg-top1k_50
19,w2ot,tak,50,0.9284004133835372,0.6842625,0.0075827228295383,sciplex3-hvg-top1k_50
20,identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,sciplex3-hvg-top1k_50
21,observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,sciplex3-hvg-top1k_50
22,scgen,jnj,50,0.9502086444361048,0.37121606,0.0137177601456642,sciplex3-hvg-top1k_50
23,w1ot,jnj,50,0.96645075209646,0.38319755,0.0070659289509058,sciplex3-hvg-top1k_50
24,w2ot,jnj,50,0.957936333631938,0.5221029,0.007457134053111,sciplex3-hvg-top1k_50
25,identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,sciplex3-hvg-top1k_50
26,observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,sciplex3-hvg-top1k_50
27,scgen,hesperadin,50,0.8518518011206969,1.2196486,0.012035577106435,sciplex3-hvg-top1k_50
28,w1ot,hesperadin,50,0.8968901942459783,0.93289065,0.0065029887524724,sciplex3-hvg-top1k_50
29,w2ot,hesperadin,50,0.9547304219118972,0.83703625,0.0080602104064746,sciplex3-hvg-top1k_50
30,identity,flavopiridol,50,0.7188543413898592,1.1363792,0.0076689505887043,sciplex3-hvg-top1k_50
31,observed,flavopiridol,50,0.967704489641671,0.37754762,0.0029257507971487,sciplex3-hvg-top1k_50
32,scgen,flavopiridol,50,0.9179468609024442,0.64571667,0.0085685246076354,sciplex3-hvg-top1k_50
33,w1ot,flavopiridol,50,0.9163663275231224,0.6131865,0.0075747157629666,sciplex3-hvg-top1k_50
34,w2ot,flavopiridol,50,0.9668248591099609,0.46762958,0.0077822362664937,sciplex3-hvg-top1k_50
35,identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,sciplex3-hvg-top1k_50
36,observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,sciplex3-hvg-top1k_50
37,scgen,tanespimycin,50,0.9081880720587966,0.60248935,0.0098755184863694,sciplex3-hvg-top1k_50
38,w1ot,tanespimycin,50,0.938276539521512,0.53424245,0.0065850647329352,sciplex3-hvg-top1k_50
39,w2ot,tanespimycin,50,0.8969395487095854,0.66333973,0.0079547443077899,sciplex3-hvg-top1k_50
40,identity,hesperadin,50,0.5527510842749362,1.8162497,0.0098550297753536,sciplex3-hvg-top1k_50
41,observed,hesperadin,50,0.9836350517194258,0.3294006,0.0023432498192414,sciplex3-hvg-top1k_50
42,scgen,hesperadin,50,0.8776653099689995,1.2428695,0.0119269288711075,sciplex3-hvg-top1k_50
43,w1ot,hesperadin,50,0.8774267822006704,1.1082942,0.0080610977306787,sciplex3-hvg-top1k_50
44,w2ot,hesperadin,50,0.9483087605740786,0.9759915,0.0106817452840186,sciplex3-hvg-top1k_50
45,identity,belinostat,50,0.5978417607186394,1.3857372,0.0074124087901145,sciplex3-hvg-top1k_50
46,observed,belinostat,50,0.9818646158796612,0.30784956,0.0016508551500737,sciplex3-hvg-top1k_50
47,scgen,belinostat,50,0.8540175622698918,0.96524394,0.0082179066380194,sciplex3-hvg-top1k_50
48,w1ot,belinostat,50,0.8556147078657801,0.83749014,0.0048683198809158,sciplex3-hvg-top1k_50
49,w2ot,belinostat,50,0.8665658206593451,0.90510947,0.007408009298706,sciplex3-hvg-top1k_50
50,identity,dacinostat,50,0.0240895038933871,3.3281677,0.0302268655458465,sciplex3-hvg-top1k_50
51,observed,dacinostat,50,0.9856137269270868,0.3270677,0.002119471905753,sciplex3-hvg-top1k_50
52,scgen,dacinostat,50,0.7904964746875879,1.2645168,0.0100633321795612,sciplex3-hvg-top1k_50
53,w1ot,dacinostat,50,0.8553716524140988,1.3170202,0.0104809367004781,sciplex3-hvg-top1k_50
54,w2ot,dacinostat,50,0.959327834407653,0.7052957,0.0079031584691256,sciplex3-hvg-top1k_50
55,identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,sciplex3-hvg-top1k_50
56,observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,sciplex3-hvg-top1k_50
57,scgen,givinostat,50,0.7886898862332629,1.206537,0.0085003725904971,sciplex3-hvg-top1k_50
58,w1ot,givinostat,50,0.875014141749287,0.94485605,0.0102395579311996,sciplex3-hvg-top1k_50
59,w2ot,givinostat,50,0.9761022795337152,0.5414152,0.006560247358866,sciplex3-hvg-top1k_50
60,identity,tanespimycin,50,0.7571722361701718,0.8579338,0.0064473188808187,sciplex3-hvg-top1k_50
61,observed,tanespimycin,50,0.9640809961772852,0.33003503,0.0028285669162869,sciplex3-hvg-top1k_50
62,scgen,tanespimycin,50,0.8909352552540636,0.5939832,0.0084592390886973,sciplex3-hvg-top1k_50
63,w1ot,tanespimycin,50,0.9589156898576748,0.44085473,0.0056022850866429,sciplex3-hvg-top1k_50
64,w2ot,tanespimycin,50,0.93133104871877,0.609304,0.0081969098863191,sciplex3-hvg-top1k_50
65,identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,sciplex3-hvg-top1k_50
66,observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,sciplex3-hvg-top1k_50
67,scgen,alvespimycin,50,0.732428259277184,0.8911366,0.009672420816496,sciplex3-hvg-top1k_50
68,w1ot,alvespimycin,50,0.943185876305886,0.40231782,0.0063737516966648,sciplex3-hvg-top1k_50
69,w2ot,alvespimycin,50,0.9308106402933638,0.5668662,0.0098956681042909,sciplex3-hvg-top1k_50
70,identity,tak,50,0.8279047848679564,0.8735294,0.0059413215680979,sciplex3-hvg-top1k_50
71,observed,tak,50,0.9700712277470004,0.35245174,0.0028567310911603,sciplex3-hvg-top1k_50
72,scgen,tak,50,0.932602588713159,0.74543995,0.0090018764253909,sciplex3-hvg-top1k_50
73,w1ot,tak,50,0.9609645795890528,0.6114559,0.0079838200142694,sciplex3-hvg-top1k_50
74,w2ot,tak,50,0.9432339522049024,0.6287791,0.0069865471786761,sciplex3-hvg-top1k_50
75,identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,sciplex3-hvg-top1k_50
76,observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,sciplex3-hvg-top1k_50
77,scgen,flavopiridol,50,0.848152739056352,0.852757,0.0092363138642213,sciplex3-hvg-top1k_50
78,w1ot,flavopiridol,50,0.8539892021676865,0.829533,0.0075181130417331,sciplex3-hvg-top1k_50
79,w2ot,flavopiridol,50,0.9118072807070662,0.75111896,0.0095565435727439,sciplex3-hvg-top1k_50
80,identity,flavopiridol,50,0.6860365053981805,1.270336,0.0082854731020052,sciplex3-hvg-top1k_50
81,observed,flavopiridol,50,0.9803126529429956,0.2955912,0.0028768961003515,sciplex3-hvg-top1k_50
82,scgen,flavopiridol,50,0.848152739056352,0.852757,0.0092363138642213,sciplex3-hvg-top1k_50
83,w1ot,flavopiridol,50,0.8657180735883712,0.8005194,0.0074224823344411,sciplex3-hvg-top1k_50
84,w2ot,flavopiridol,50,0.9144442596120528,0.7288093,0.0093647505747867,sciplex3-hvg-top1k_50
85,identity,givinostat,50,0.3529843654970617,2.2416875,0.0100770055782049,sciplex3-hvg-top1k_50
86,observed,givinostat,50,0.9717259832899026,0.3889686,0.0021095079928636,sciplex3-hvg-top1k_50
87,scgen,givinostat,50,0.7524105465692169,1.3095089,0.0110045328945852,sciplex3-hvg-top1k_50
88,w1ot,givinostat,50,0.957594943206871,0.7332132,0.0068509219237603,sciplex3-hvg-top1k_50
89,w2ot,givinostat,50,0.9707349201668596,0.46825024,0.0036978921480476,sciplex3-hvg-top1k_50
90,identity,alvespimycin,50,0.576277849695345,1.1907061,0.0075967659894376,sciplex3-hvg-top1k_50
91,observed,alvespimycin,50,0.981679687110324,0.23399451,0.0025112416269257,sciplex3-hvg-top1k_50
92,scgen,alvespimycin,50,0.860597507682048,0.6653573,0.0117574224807322,sciplex3-hvg-top1k_50
93,w1ot,alvespimycin,50,0.8530561809090463,0.6372943,0.0080898712109774,sciplex3-hvg-top1k_50
94,w2ot,alvespimycin,50,0.935707056154223,0.5558357,0.0096690896502695,sciplex3-hvg-top1k_50
95,identity,givinostat,50,0.4015933635026881,2.060474,0.010282049390953,sciplex3-hvg-top1k_50
96,observed,givinostat,50,0.9763603167241534,0.36755654,0.0021284946496598,sciplex3-hvg-top1k_50
97,scgen,givinostat,50,0.8353121039132201,1.0557512,0.0117932486964855,sciplex3-hvg-top1k_50
98,w1ot,givinostat,50,0.8857177650060398,0.9699536,0.0107452587946318,sciplex3-hvg-top1k_50
99,w2ot,givinostat,50,0.9747922758477592,0.78531545,0.0102570808958262,sciplex3-hvg-top1k_50
100,identity,jnj,50,0.965478454500591,0.7637347,0.0030240934342145,sciplex3-hvg-top1k_50
101,observed,jnj,50,0.9829800516159636,0.21170013,0.0020176301151514,sciplex3-hvg-top1k_50
102,scgen,jnj,50,0.9502086444361048,0.37121606,0.0137177601456642,sciplex3-hvg-top1k_50
103,w1ot,jnj,50,0.96645075209646,0.38319755,0.0070659289509058,sciplex3-hvg-top1k_50
104,w2ot,jnj,50,0.9609602896724232,0.5685774,0.0083024545013904,sciplex3-hvg-top1k_50
105,identity,alvespimycin,50,0.533975735083714,1.2578601,0.0085391700128093,sciplex3-hvg-top1k_50
106,observed,alvespimycin,50,0.9493727389715088,0.3822661,0.0031677237804979,sciplex3-hvg-top1k_50
107,scgen,alvespimycin,50,0.732428259277184,0.8911366,0.009672420816496,sciplex3-hvg-top1k_50
108,w1ot,alvespimycin,50,0.943185876305886,0.40231782,0.0063737516966648,sciplex3-hvg-top1k_50
109,w2ot,alvespimycin,50,0.922074345972415,0.5854965,0.0101312490762211,sciplex3-hvg-top1k_50
